[9/6/2023 3:07:32 AM] [INFO] received Windows console close event; shutting log-core down
[9/6/2023 4:45:34 PM] [INFO] received Windows console close event; shutting log-core down
[9/6/2023 4:55:24 PM] [INFO] received Windows console close event; shutting log-core down
[9/6/2023 4:56:33 PM] [INFO] received Windows console close event; shutting log-core down
[9/6/2023 7:51:11 PM] [INFO] received Windows console close event; shutting log-core down
[9/6/2023 7:53:52 PM] [INFO] received Windows console close event; shutting log-core down
[9/6/2023 11:50:26 PM] [INFO] received Windows console close event; shutting log-core down
[9/6/2023 11:59:14 PM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 12:14:31 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 1:01:39 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 1:18:16 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 2:08:48 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 2:41:05 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 2:48:25 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 2:55:39 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 3:03:17 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 3:10:39 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 3:14:32 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 3:16:26 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 3:19:43 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 3:21:47 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 3:27:16 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 3:30:29 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 3:31:14 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 3:33:36 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 3:35:19 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 3:37:51 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 3:40:20 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 3:42:31 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 3:49:36 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 4:03:38 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 4:08:08 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 4:15:26 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 4:16:39 AM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 4:55:30 PM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 4:56:40 PM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 4:59:31 PM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 5:03:21 PM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 5:05:15 PM] [INFO] received Windows console close event; shutting log-core down
[9/7/2023 5:11:50 PM] [INFO] received Windows console close event; shutting log-core down
[9/8/2023 12:28:08 AM] [INFO] received Windows console close event; shutting log-core down
[9/8/2023 12:31:05 AM] [INFO] received Windows console close event; shutting log-core down
[9/8/2023 1:01:10 AM] [INFO] received Windows console close event; shutting log-core down
[9/8/2023 1:04:29 AM] [INFO] received Windows console close event; shutting log-core down
[9/8/2023 1:04:35 AM] [INFO] received Windows console close event; shutting log-core down
[9/8/2023 1:34:45 AM] [INFO] received Windows console close event; shutting log-core down
[9/8/2023 1:36:38 AM] [INFO] received Windows console close event; shutting log-core down
[9/8/2023 1:42:25 AM] [INFO] received Windows console close event; shutting log-core down
[9/8/2023 1:47:57 AM] [INFO] received Windows console close event; shutting log-core down
[9/8/2023 2:26:46 AM] [INFO] received Windows console close event; shutting log-core down
[9/8/2023 2:29:30 AM] [INFO] received Windows console close event; shutting log-core down
[9/9/2023 1:01:29 AM] [INFO] received Windows console close event; shutting log-core down
[9/9/2023 1:49:57 AM] [INFO] received Windows console close event; shutting log-core down
[9/9/2023 10:45:00 PM] [INFO] received Windows console close event; shutting log-core down
[9/9/2023 10:50:48 PM] [INFO] received Windows console close event; shutting log-core down
[9/10/2023 12:06:12 AM] [INFO] received Windows console close event; shutting log-core down
[9/10/2023 12:18:26 AM] [INFO] received Windows console close event; shutting log-core down
[9/10/2023 12:37:37 AM] [INFO] received Windows console close event; shutting log-core down
[9/10/2023 1:10:03 AM] [INFO] received Windows console close event; shutting log-core down
[9/10/2023 2:02:37 AM] [INFO] received Windows console close event; shutting log-core down
[9/10/2023 3:41:51 PM] [INFO] received Windows console close event; shutting log-core down
[9/10/2023 3:55:54 PM] [INFO] received Windows console close event; shutting log-core down
[9/10/2023 3:59:00 PM] [INFO] received Windows console close event; shutting log-core down
[9/10/2023 4:58:09 PM] [INFO] received Windows console close event; shutting log-core down
[9/10/2023 5:10:32 PM] [INFO] received Windows console close event; shutting log-core down
[9/10/2023 5:13:17 PM] [INFO] received Windows console close event; shutting log-core down
[9/10/2023 5:13:42 PM] [INFO] received Windows console close event; shutting log-core down
[9/10/2023 5:18:18 PM] [INFO] received Windows console close event; shutting log-core down
